task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	6a/470fe3	15136	NFCORE_SCRNASEQ:SCRNASEQ:FASTQC_CHECK:FASTQC (Sample_Y)	COMPLETED	0	2026-09-16 17:09:55.816	6.2s	5s	183.6%	785.6 MB	6.1 GB	21.7 MB	6.5 MB
2	c8/c19430	15251	NFCORE_SCRNASEQ:SCRNASEQ:FASTQC_CHECK:FASTQC (Sample_X)	COMPLETED	0	2026-09-16 17:10:01.985	4.7s	4s	150.0%	448.6 MB	6 GB	17.4 MB	3.2 MB
1	61/654b23	15332	NFCORE_SCRNASEQ:SCRNASEQ:GTF_GENE_FILTER (GRCm38.p6.genome.chr19.fa)	COMPLETED	0	2026-09-16 17:10:06.677	4.6s	1s	72.3%	5.3 MB	459.2 MB	80.4 MB	20 MB
4	e0/27378b	15406	NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_GENOMEGENERATE (GRCm38.p6.genome.chr19.fa)	COMPLETED	0	2026-09-16 17:10:11.389	24.1s	21s	220.3%	1.7 GB	2.9 GB	1.1 GB	1.5 GB
5	7e/2a28d4	15998	NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_ALIGN (Sample_X)	COMPLETED	0	2026-09-16 17:10:35.784	1m 47s	1m 45s	153.3%	2.4 GB	8 GB	766.6 MB	36.4 MB
6	9f/f0e7b0	18099	NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_ALIGN (Sample_Y)	COMPLETED	0	2026-09-16 17:12:23.138	1m 59s	1m 58s	184.9%	2.4 GB	8 GB	792.3 MB	37.6 MB
7	a3/273541	20674	NFCORE_SCRNASEQ:SCRNASEQ:MTX_TO_H5AD (Sample_X)	COMPLETED	0	2026-09-16 17:14:22.316	16.6s	2.7s	149.7%	406.7 MB	2.1 GB	53.3 MB	46.1 MB
8	c2/df4187	21077	NFCORE_SCRNASEQ:SCRNASEQ:MTX_TO_H5AD (Sample_X)	COMPLETED	0	2026-09-16 17:14:38.910	3.3s	2.4s	165.4%	235.6 MB	1.7 GB	39.9 MB	617 KB
10	67/1fc8b7	21254	NFCORE_SCRNASEQ:SCRNASEQ:MTX_TO_H5AD (Sample_Y)	COMPLETED	0	2026-09-16 17:14:42.233	4.7s	3.6s	131.5%	405.7 MB	2.1 GB	53.3 MB	46.1 MB
9	35/4e81df	21396	NFCORE_SCRNASEQ:SCRNASEQ:MTX_TO_H5AD (Sample_Y)	COMPLETED	0	2026-09-16 17:14:46.957	4.4s	3.3s	106.6%	274 MB	2 GB	40 MB	728.6 KB
12	0d/3bc7ed	21098	NFCORE_SCRNASEQ:SCRNASEQ:MULTIQC	COMPLETED	0	2026-09-16 17:14:39.925	42.4s	21.2s	103.3%	905.4 MB	15.5 GB	95.7 MB	34.4 MB
11	58/6eb8f5	21472	NFCORE_SCRNASEQ:SCRNASEQ:H5AD_CONVERSION:ANNDATAR_CONVERT (Sample_X)	COMPLETED	0	2026-09-16 17:14:51.384	43s	27.2s	98.8%	1.1 GB	2.7 GB	73.2 MB	9.4 MB
13	b0/1a28f4	22148	NFCORE_SCRNASEQ:SCRNASEQ:H5AD_CONVERSION:ANNDATAR_CONVERT (Sample_X)	COMPLETED	0	2026-09-16 17:15:34.444	6.4s	5.9s	122.5%	744 MB	2.4 GB	38.3 MB	191.6 KB
14	8b/61da2b	22370	NFCORE_SCRNASEQ:SCRNASEQ:H5AD_CONVERSION:ANNDATAR_CONVERT (Sample_Y)	COMPLETED	0	2026-09-16 17:15:40.888	21.4s	20.9s	105.3%	1.1 GB	2.7 GB	73.3 MB	9.5 MB
15	c1/3b0f8e	22733	NFCORE_SCRNASEQ:SCRNASEQ:H5AD_CONVERSION:ANNDATAR_CONVERT (Sample_Y)	COMPLETED	0	2026-09-16 17:16:02.339	5.3s	4.8s	133.8%	644.1 MB	2.3 GB	38.3 MB	209.9 KB
17	0b/9e4294	22875	NFCORE_SCRNASEQ:SCRNASEQ:H5AD_CONVERSION:CONCAT_H5AD (combined)	COMPLETED	0	2026-09-16 17:16:07.648	2.6s	1.8s	195.2%	243 MB	1.9 GB	40.7 MB	1.4 MB
16	6a/b3d073	22933	NFCORE_SCRNASEQ:SCRNASEQ:H5AD_CONVERSION:CONCAT_H5AD (combined)	COMPLETED	0	2026-09-16 17:16:10.204	5.3s	4.6s	134.9%	1.1 GB	2.6 GB	133 MB	131.3 MB
18	fd/513679	23032	NFCORE_SCRNASEQ:SCRNASEQ:H5AD_CONVERSION:ANNDATAR_CONVERT (combined)	COMPLETED	0	2026-09-16 17:16:15.528	5.8s	5.1s	131.6%	644.7 MB	2.3 GB	38.9 MB	344.7 KB
19	0b/f1d66e	23111	NFCORE_SCRNASEQ:SCRNASEQ:H5AD_CONVERSION:ANNDATAR_CONVERT (combined)	COMPLETED	0	2026-09-16 17:16:21.298	33.1s	32.6s	104.6%	1.6 GB	3.3 GB	149.3 MB	19.9 MB
